Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Temperature (°C),Weather Condition,Notes
2022-12-27,00:00,Cow_1,11,0,4,28.7,Cloudy,
2022-12-27,00:00,Cow_2,4,5,6,28.7,Cloudy,
2022-12-27,00:00,Cow_3,11,2,2,28.7,Cloudy,
2022-12-27,00:00,Cow_4,6,1,8,28.7,Cloudy,
2022-12-27,00:00,Cow_5,1,3,11,28.7,Cloudy,
2022-12-27,00:00,Cow_6,4,11,0,28.7,Cloudy,
2022-12-27,00:00,Cow_7,8,5,2,28.7,Cloudy,
2022-12-27,00:00,Cow_8,15,0,0,28.7,Cloudy,
2022-12-27,00:00,Cow_9,10,3,2,28.7,Cloudy,
2022-12-27,00:00,Cow_10,9,0,6,28.7,Cloudy,
2022-12-27,00:15,Cow_1,0,1,14,28.5,Rainy,
2022-12-27,00:15,Cow_2,2,0,13,28.5,Rainy,
2022-12-27,00:15,Cow_3,10,1,4,28.5,Rainy,
2022-12-27,00:15,Cow_4,4,11,0,28.5,Rainy,
2022-12-27,00:15,Cow_5,8,5,2,28.5,Rainy,
2022-12-27,00:15,Cow_6,6,1,8,28.5,Rainy,
2022-12-27,00:15,Cow_7,12,1,2,28.5,Rainy,
2022-12-27,00:15,Cow_8,1,12,2,28.5,Rainy,
2022-12-27,00:15,Cow_9,11,2,2,28.5,Rainy,
2022-12-27,00:15,Cow_10,3,2,10,28.5,Rainy,
2022-12-27,00:30,Cow_1,13,1,1,31.3,Cloudy,
2022-12-27,00:30,Cow_2,13,1,1,31.3,Cloudy,
2022-12-27,00:30,Cow_3,9,6,0,31.3,Cloudy,
2022-12-27,00:30,Cow_4,12,0,3,31.3,Cloudy,
2022-12-27,00:30,Cow_5,4,1,10,31.3,Cloudy,
2022-12-27,00:30,Cow_6,2,4,9,31.3,Cloudy,
2022-12-27,00:30,Cow_7,14,1,0,31.3,Cloudy,
2022-12-27,00:30,Cow_8,1,13,1,31.3,Cloudy,
2022-12-27,00:30,Cow_9,6,8,1,31.3,Cloudy,
2022-12-27,00:30,Cow_10,2,10,3,31.3,Cloudy,
2022-12-27,00:45,Cow_1,0,10,5,30.6,Sunny,
2022-12-27,00:45,Cow_2,8,4,3,30.6,Sunny,
2022-12-27,00:45,Cow_3,8,1,6,30.6,Sunny,
2022-12-27,00:45,Cow_4,6,7,2,30.6,Sunny,
2022-12-27,00:45,Cow_5,1,0,14,30.6,Sunny,
2022-12-27,00:45,Cow_6,5,8,2,30.6,Sunny,
2022-12-27,00:45,Cow_7,2,12,1,30.6,Sunny,
