Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Temperature (°C),Weather Condition
2023-11-13,00:00,Cow_1,15,0,0,26.5,Rainy
2023-11-13,00:00,Cow_2,6,8,1,26.5,Rainy
2023-11-13,00:00,Cow_3,6,4,5,26.5,Rainy
2023-11-13,00:00,Cow_4,2,9,4,26.5,Rainy
2023-11-13,00:00,Cow_5,4,7,4,26.5,Rainy
2023-11-13,00:00,Cow_6,7,8,0,26.5,Rainy
2023-11-13,00:00,Cow_7,3,6,6,26.5,Rainy
2023-11-13,00:00,Cow_8,13,0,2,26.5,Rainy
2023-11-13,00:00,Cow_9,2,4,9,26.5,Rainy
2023-11-13,00:00,Cow_10,11,3,1,26.5,Rainy
2023-11-13,00:15,Cow_1,7,3,5,26.9,Sunny
2023-11-13,00:15,Cow_2,12,0,3,26.9,Sunny
2023-11-13,00:15,Cow_3,8,2,5,26.9,Sunny
2023-11-13,00:15,Cow_4,3,0,12,26.9,Sunny
2023-11-13,00:15,Cow_5,5,1,9,26.9,Sunny
2023-11-13,00:15,Cow_6,13,0,2,26.9,Sunny
2023-11-13,00:15,Cow_7,15,0,0,26.9,Sunny
2023-11-13,00:15,Cow_8,15,0,0,26.9,Sunny
2023-11-13,00:15,Cow_9,6,6,3,26.9,Sunny
2023-11-13,00:15,Cow_10,9,4,2,26.9,Sunny
2023-11-13,00:30,Cow_1,13,2,0,25.2,Rainy
2023-11-13,00:30,Cow_2,6,9,0,25.2,Rainy
2023-11-13,00:30,Cow_3,12,0,3,25.2,Rainy
2023-11-13,00:30,Cow_4,10,1,4,25.2,Rainy
2023-11-13,00:30,Cow_5,8,3,4,25.2,Rainy
2023-11-13,00:30,Cow_6,2,8,5,25.2,Rainy
2023-11-13,00:30,Cow_7,1,1,13,25.2,Rainy
2023-11-13,00:30,Cow_8,15,0,0,25.2,Rainy
2023-11-13,00:30,Cow_9,4,9,2,25.2,Rainy
2023-11-13,00:30,Cow_10,5,7,3,25.2,Rainy
2023-11-13,00:45,Cow_1,13,2,0,32.3,Cloudy
2023-11-13,00:45,Cow_2,11,2,2,32.3,Cloudy
2023-11-13,00:45,Cow_3,5,5,5,32.3,Cloudy
2023-11-13,00:45,Cow_4,15,0,0,32.3,Cloudy
2023-11-13,00:45,Cow_5,8,6,1,32.3,Cloudy
2023-11-13,00:45,Cow_6,2,4,9,32.3,Cloudy
2023-11-13,00:45,Cow_7,6,5,4,32.3,Cloudy
2023-11-13,00:45,Cow_8,9,4,2,32.3,Cloudy
2023-11-13,00:45,Cow_9,15,0,0,32.3,Cloudy
2023-11-13,00:45,Cow_10,2,12,1,32.3,Cloudy
2023-11-13,01:00,Cow_1,12,2,1,25.6,Cloudy
2023-11-13,01:00,Cow_2,13,0,2,25.6,Cloudy
2023-11-13,01:00,Cow_3,8,1,6,25.6,Cloudy
2023-11-13,01:00,Cow_4,10,1,4,25.6,Cloudy
2023-11-13,01:00,Cow_5,4,0,11,25.6,Cloudy
2023-11-13,01:00,Cow_6,15,0,0,25.6,Cloudy
2023-11-13,01:00,Cow_7,7,2,6,25.6,Cloudy
2023-11-13,01:00,Cow_8,13,2,0,25.6,Cloudy
2023-11-13,01:00,Cow_9,10,0,5,25.6,Cloudy
2023-11-13,01:00,Cow_10,14,0,1,25.6,Cloudy
2023-11-13,01:15,Cow_1,2,1,12,30.1,Rainy
2023-11-13,01:15,Cow_2,0,6,9,30.1,Rainy
2023-11-13,01:15,Cow_3,4,10,1,30.1,Rainy
2023-11-13,01:15,Cow_4,4,1,10,30.1,Rainy
2023-11-13,01:15,Cow_5,10,0,5,30.1,Rainy
2023-11-13,01:15,Cow_6,15,0,0,30.1,Rainy
