Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Not Recognized (min),Temperature (°C),Weather Condition
2024-05-02,00:00,Cow_1,11,0,4,0,32.4,Cloudy
2024-05-02,00:00,Cow_2,9,1,5,0,32.4,Cloudy
2024-05-02,00:00,Cow_3,8,2,5,0,32.4,Cloudy
2024-05-02,00:00,Cow_4,8,2,5,0,32.4,Cloudy
2024-05-02,00:00,Cow_5,11,0,4,0,32.4,Cloudy
2024-05-02,00:00,Cow_6,12,0,4,0,32.4,Cloudy
2024-05-02,00:00,Cow_7,8,1,6,0,32.4,Cloudy
2024-05-02,00:00,Cow_8,9,2,4,0,32.4,Cloudy
2024-05-02,00:00,Cow_9,11,0,6,0,32.4,Cloudy
2024-05-02,00:00,Cow_10,11,0,4,0,32.4,Cloudy
2024-05-02,00:15,Cow_1,0,0,0,15,31.0,Clear
2024-05-02,00:15,Cow_2,11,0,5,0,31.0,Clear
2024-05-02,00:15,Cow_3,12,2,1,0,31.0,Clear
2024-05-02,00:15,Cow_4,16,0,4,0,31.0,Clear
2024-05-02,00:15,Cow_5,12,0,4,0,31.0,Clear
2024-05-02,00:15,Cow_6,8,3,4,0,31.0,Clear
2024-05-02,00:15,Cow_7,8,1,6,0,31.0,Clear
2024-05-02,00:15,Cow_8,11,0,4,0,31.0,Clear
2024-05-02,00:15,Cow_9,9,0,6,0,31.0,Clear
2024-05-02,00:15,Cow_10,9,1,5,0,31.0,Clear
2024-05-02,00:30,Cow_1,8,2,5,0,30.7,Cloudy
2024-05-02,00:30,Cow_2,8,2,5,0,30.7,Cloudy
2024-05-02,00:30,Cow_3,12,0,5,0,30.7,Cloudy
2024-05-02,00:30,Cow_4,10,0,6,0,30.7,Cloudy
2024-05-02,00:30,Cow_5,8,1,6,0,30.7,Cloudy
2024-05-02,00:30,Cow_6,8,2,5,0,30.7,Cloudy
2024-05-02,00:30,Cow_7,12,0,5,0,30.7,Cloudy
2024-05-02,00:30,Cow_8,0,0,0,15,30.7,Cloudy
2024-05-02,00:30,Cow_9,11,0,5,0,30.7,Cloudy
2024-05-02,00:30,Cow_10,8,1,6,0,30.7,Cloudy
2024-05-02,00:45,Cow_1,11,0,4,0,25.4,Sunny
2024-05-02,00:45,Cow_2,8,1,6,0,25.4,Sunny
2024-05-02,00:45,Cow_3,8,1,6,0,25.4,Sunny
2024-05-02,00:45,Cow_4,11,0,5,0,25.4,Sunny
2024-05-02,00:45,Cow_5,8,2,5,0,25.4,Sunny
2024-05-02,00:45,Cow_6,10,1,4,0,25.4,Sunny
2024-05-02,00:45,Cow_7,12,0,6,0,25.4,Sunny
2024-05-02,00:45,Cow_8,12,0,4,0,25.4,Sunny
2024-05-02,00:45,Cow_9,12,0,6,0,25.4,Sunny
2024-05-02,00:45,Cow_10,9,2,4,0,25.4,Sunny
2024-05-02,01:00,Cow_1,9,2,4,0,29.2,Sunny
2024-05-02,01:00,Cow_2,8,3,4,0,29.2,Sunny
2024-05-02,01:00,Cow_3,9,0,6,0,29.2,Sunny
2024-05-02,01:00,Cow_4,11,0,5,0,29.2,Sunny
2024-05-02,01:00,Cow_5,8,3,4,0,29.2,Sunny
2024-05-02,01:00,Cow_6,10,1,4,0,29.2,Sunny
2024-05-02,01:00,Cow_7,8,1,6,0,29.2,Sunny
2024-05-02,01:00,Cow_8,10,0,5,0,29.2,Sunny
2024-05-02,01:00,Cow_9,10,0,6,0,29.2,Sunny
2024-05-02,01:00,Cow_10,11,0,6,0,29.2,Sunny
2024-05-02,01:15,Cow_1,11,0,5,0,34.5,Cloudy
2024-05-02,01:15,Cow_2,8,3,4,0,34.5,Cloudy
2024-05-02,01:15,Cow_3,8,2,5,0,34.5,Cloudy
2024-05-02,01:15,Cow_4,11,0,6,0,34.5,Cloudy
2024-05-02,01:15,Cow_5,10,0,6,0,34.5,Cloudy
2024-05-02,01:15,Cow_6,10,0,6,0,34.5,Cloudy
2024-05-02,01:15,Cow_7,11,0,6,0,34.5,Cloudy
2024-05-02,01:15,Cow_8,8,2,5,0,34.5,Cloudy
2024-05-02,01:15,Cow_9,10,0,6,0,34.5,Cloudy
2024-05-02,01:15,Cow_10,9,0,6,0,34.5,Cloudy
2024-05-02,01:30,Cow_1,12,0,5,0,27.0,Cloudy
2024-05-02,01:30,Cow_2,8,1,6,0,27.0,Cloudy
2024-05-02,01:30,Cow_3,10,0,5,0,27.0,Cloudy
2024-05-02,01:30,Cow_4,10,0,6,0,27.0,Cloudy
2024-05-02,01:30,Cow_5,10,1,4,0,27.0,Cloudy
2024-05-02,01:30,Cow_6,8,2,5,0,27.0,Cloudy
2024-05-02,01:30,Cow_7,10,0,5,0,27.0,Cloudy
2024-05-02,01:30,Cow_8,11,0,4,0,27.0,Cloudy
2024-05-02,01:30,Cow_9,12,0,6,0,27.0,Cloudy
2024-05-02,01:30,Cow_10,8,3,4,0,27.0,Cloudy
2024-05-02,01:45,Cow_1,8,2,5,0,29.2,Sunny
2024-05-02,01:45,Cow_2,11,0,5,0,29.2,Sunny
2024-05-02,01:45,Cow_3,12,1,2,0,29.2,Sunny
2024-05-02,01:45,Cow_4,12,0,6,0,29.2,Sunny
2024-05-02,01:45,Cow_5,8,3,4,0,29.2,Sunny
2024-05-02,01:45,Cow_6,0,0,0,15,29.2,Sunny
2024-05-02,01:45,Cow_7,12,0,4,0,29.2,Sunny
2024-05-02,01:45,Cow_8,10,0,6,0,29.2,Sunny
2024-05-02,01:45,Cow_9,8,2,5,0,29.2,Sunny
2024-05-02,01:45,Cow_10,12,0,4,0,29.2,Sunny
2024-05-02,02:00,Cow_1,10,1,4,0,31.1,Rainy
