BehaviorID,CattleID,BehaviorType,StartTime,EndTime,ConfidenceScore,Duration (minutes),Location
1000,1,Lying Down,2024-08-16 00:00:00,2024-08-16 00:51:00,0.98,51.0,Field C
1001,1,Eating,2024-08-16 00:51:00,2024-08-16 01:24:00,0.98,33.0,Field C
1002,1,Lying Down,2024-08-16 01:24:00,2024-08-16 02:07:00,0.86,43.0,Field D
1003,1,Eating,2024-08-16 02:07:00,2024-08-16 02:59:00,0.98,52.0,Field C
1004,1,Eating,2024-08-16 02:59:00,2024-08-16 03:59:00,0.97,60.0,Field D
1005,1,Eating,2024-08-16 03:59:00,2024-08-16 04:30:00,0.92,31.0,Field D
1006,1,Lying Down,2024-08-16 04:30:00,2024-08-16 05:03:00,0.87,33.0,Field B
1007,1,Standing,2024-08-16 05:03:00,2024-08-16 05:29:00,0.99,26.0,Field A
1008,1,Lying Down,2024-08-16 05:29:00,2024-08-16 06:01:00,0.91,32.0,Field A
1009,1,Lying Down,2024-08-16 06:01:00,2024-08-16 06:28:00,0.99,27.0,Field A
1010,1,Eating,2024-08-16 06:28:00,2024-08-16 06:58:00,0.95,30.0,Field C
1011,1,Standing,2024-08-16 06:58:00,2024-08-16 07:54:00,0.96,56.0,Field A
1012,1,Eating,2024-08-16 07:54:00,2024-08-16 08:21:00,0.92,27.0,Field C
1013,1,Eating,2024-08-16 08:21:00,2024-08-16 08:52:00,0.92,31.0,Field B
1014,1,Eating,2024-08-16 08:52:00,2024-08-16 09:31:00,0.87,39.0,Field B
1015,1,Standing,2024-08-16 09:31:00,2024-08-16 10:08:00,0.87,37.0,Field C
1016,1,Lying Down,2024-08-16 10:08:00,2024-08-16 11:00:00,0.95,52.0,Field B
1017,1,Standing,2024-08-16 11:00:00,2024-08-16 11:33:00,0.89,33.0,Field B
1018,1,Standing,2024-08-16 11:33:00,2024-08-16 11:49:00,0.95,16.0,Field B
1019,1,Lying Down,2024-08-16 11:49:00,2024-08-16 12:39:00,0.99,50.0,Field C
1020,1,Standing,2024-08-16 12:39:00,2024-08-16 13:31:00,0.87,52.0,Field B
1021,1,Standing,2024-08-16 13:31:00,2024-08-16 14:01:00,0.98,30.0,Field D
1022,1,Lying Down,2024-08-16 14:01:00,2024-08-16 14:29:00,0.85,28.0,Field C
1023,1,Standing,2024-08-16 14:29:00,2024-08-16 15:01:00,0.87,32.0,Field D
1024,1,Lying Down,2024-08-16 15:01:00,2024-08-16 15:45:00,0.86,44.0,Field D
1025,1,Lying Down,2024-08-16 15:45:00,2024-08-16 16:32:00,0.86,47.0,Field D
1026,1,Lying Down,2024-08-16 16:32:00,2024-08-16 17:27:00,0.97,55.0,Field C
1027,1,Lying Down,2024-08-16 17:27:00,2024-08-16 18:07:00,0.87,40.0,Field B
1028,1,Eating,2024-08-16 18:07:00,2024-08-16 18:32:00,0.85,25.0,Field B
1029,1,Standing,2024-08-16 18:32:00,2024-08-16 19:08:00,0.95,36.0,Field B
1030,1,Lying Down,2024-08-16 19:08:00,2024-08-16 20:04:00,0.97,56.0,Field C
1031,1,Lying Down,2024-08-16 20:04:00,2024-08-16 20:34:00,0.92,30.0,Field C
1032,1,Eating,2024-08-16 20:34:00,2024-08-16 21:14:00,0.86,40.0,Field C
1033,1,Standing,2024-08-16 21:14:00,2024-08-16 21:50:00,0.93,36.0,Field B
1034,1,Standing,2024-08-16 21:50:00,2024-08-16 22:06:00,0.87,16.0,Field C
1035,1,Lying Down,2024-08-16 22:06:00,2024-08-16 22:25:00,0.86,19.0,Field B
1036,1,Lying Down,2024-08-16 22:25:00,2024-08-16 22:58:00,0.95,33.0,Field A
1037,1,Eating,2024-08-16 22:58:00,2024-08-16 23:44:00,0.85,46.0,Field C
1038,1,Standing,2024-08-16 23:44:00,2024-08-17 00:16:00,0.99,32.0,Field C
1039,1,Standing,2024-08-17 00:16:00,2024-08-17 00:53:00,0.93,37.0,Field B
1040,1,Lying Down,2024-08-17 00:53:00,2024-08-17 01:14:00,0.99,21.0,Field C
1041,1,Lying Down,2024-08-17 01:14:00,2024-08-17 02:14:00,0.96,60.0,Field B
1042,1,Standing,2024-08-17 02:14:00,2024-08-17 02:32:00,0.86,18.0,Field B
1043,1,Standing,2024-08-17 02:32:00,2024-08-17 03:02:00,0.96,30.0,Field A
1044,1,Lying Down,2024-08-17 03:02:00,2024-08-17 03:21:00,0.93,19.0,Field B
1045,1,Eating,2024-08-17 03:21:00,2024-08-17 03:58:00,0.92,37.0,Field A
1046,1,Standing,2024-08-17 03:58:00,2024-08-17 04:27:00,0.86,29.0,Field D
1047,1,Standing,2024-08-17 04:27:00,2024-08-17 05:18:00,0.94,51.0,Field C
1048,1,Eating,2024-08-17 05:18:00,2024-08-17 05:44:00,0.87,26.0,Field C
1049,1,Eating,2024-08-17 05:44:00,2024-08-17 06:02:00,0.99,18.0,Field D
1050,1,Lying Down,2024-08-17 06:02:00,2024-08-17 06:50:00,0.88,48.0,Field D
1051,1,Lying Down,2024-08-17 06:50:00,2024-08-17 07:37:00,0.85,47.0,Field D
1052,1,Standing,2024-08-17 07:37:00,2024-08-17 08:36:00,0.92,59.0,Field D
1053,1,Standing,2024-08-17 08:36:00,2024-08-17 09:19:00,0.95,43.0,Field B
1054,1,Eating,2024-08-17 09:19:00,2024-08-17 10:02:00,0.89,43.0,Field B
1055,1,Lying Down,2024-08-17 10:02:00,2024-08-17 10:44:00,0.86,42.0,Field D
1056,1,Standing,2024-08-17 10:44:00,2024-08-17 11:34:00,0.93,50.0,Field C
