LocationID,CattleID,Latitude,Longitude,Timestamp
2000,1,35.4513,-120.1928,2024-08-16 18:00:00
2001,1,35.4371,-120.1643,2024-08-17 16:00:00
2002,1,35.6711,-120.9531,2024-08-18 18:00:00
2003,1,35.3522,-120.3061,2024-08-19 17:00:00
2004,1,35.4485,-120.9189,2024-08-20 12:00:00
2005,1,35.0515,-120.4178,2024-08-21 14:00:00
2006,1,35.1151,-120.875,2024-08-22 12:00:00
2007,1,35.0005,-120.1657,2024-08-23 10:00:00
2008,1,35.7199,-120.3913,2024-08-24 18:00:00
2009,1,35.1929,-120.8334,2024-08-25 17:00:00
2010,1,35.6728,-120.2324,2024-08-26 08:00:00
2011,1,35.2491,-120.3834,2024-08-27 18:00:00
2012,1,35.303,-120.9806,2024-08-28 16:00:00
2013,1,35.9677,-120.3388,2024-08-29 15:00:00
2014,2,35.8138,-120.0323,2024-08-16 18:00:00
2015,2,35.6414,-120.1143,2024-08-17 13:00:00
2016,2,35.41,-120.895,2024-08-18 14:00:00
2017,2,35.5015,-120.8839,2024-08-19 08:00:00
2018,2,35.7456,-120.2351,2024-08-20 18:00:00
2019,2,35.8544,-120.1582,2024-08-21 14:00:00
2020,2,35.8605,-120.0552,2024-08-22 17:00:00
2021,2,35.1979,-120.7987,2024-08-23 07:00:00
2022,2,35.8368,-120.9313,2024-08-24 10:00:00
2023,2,35.172,-120.5092,2024-08-25 15:00:00
2024,2,35.0606,-120.7783,2024-08-26 17:00:00
2025,2,35.2851,-120.8966,2024-08-27 09:00:00
2026,2,35.5107,-120.6402,2024-08-28 17:00:00
2027,2,35.4911,-120.9298,2024-08-29 08:00:00
2028,3,35.1478,-120.6167,2024-08-16 08:00:00
2029,3,35.5951,-120.9326,2024-08-17 18:00:00
2030,3,35.585,-120.7442,2024-08-18 14:00:00
2031,3,35.8492,-120.6512,2024-08-19 16:00:00
2032,3,35.5876,-120.2052,2024-08-20 09:00:00
2033,3,35.0591,-120.7937,2024-08-21 17:00:00
2034,3,35.6928,-120.1761,2024-08-22 06:00:00
2035,3,35.8403,-120.7928,2024-08-23 06:00:00
2036,3,35.9795,-120.415,2024-08-24 09:00:00
2037,3,35.1796,-120.0229,2024-08-25 18:00:00
2038,3,35.6531,-120.6936,2024-08-26 09:00:00
2039,3,35.4623,-120.5687,2024-08-27 06:00:00
2040,3,35.0555,-120.4991,2024-08-28 14:00:00
2041,3,35.1146,-120.3382,2024-08-29 17:00:00
2042,4,35.607,-120.4574,2024-08-16 07:00:00
2043,4,35.874,-120.5156,2024-08-17 11:00:00
2044,4,35.6646,-120.882,2024-08-18 08:00:00
2045,4,35.4901,-120.4985,2024-08-19 06:00:00
2046,4,35.9003,-120.761,2024-08-20 14:00:00
2047,4,35.6977,-120.2496,2024-08-21 13:00:00
2048,4,35.4814,-120.6743,2024-08-22 08:00:00
2049,4,35.5759,-120.5269,2024-08-23 07:00:00
2050,4,35.355,-120.9394,2024-08-24 08:00:00
2051,4,35.835,-120.7747,2024-08-25 17:00:00
2052,4,35.3106,-120.5804,2024-08-26 09:00:00
2053,4,35.1871,-120.7396,2024-08-27 13:00:00
2054,4,35.8885,-120.15,2024-08-28 16:00:00
2055,4,35.9752,-120.0502,2024-08-29 11:00:00
2056,5,35.5747,-120.4683,2024-08-16 09:00:00
2057,5,35.6174,-120.5029,2024-08-17 13:00:00
2058,5,35.0878,-120.086,2024-08-18 11:00:00
2059,5,35.6609,-120.0552,2024-08-19 11:00:00
2060,5,35.2914,-120.626,2024-08-20 11:00:00
2061,5,35.8299,-120.1417,2024-08-21 10:00:00
2062,5,35.8745,-120.0753,2024-08-22 17:00:00
